Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan C,mệt mỏi,vàng da,buồn nôn,chán ăn,vàng mắt,tiền sử gia đình,,,,,,,,,,,
Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,
Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,suy gan cấp tính,coma,stomach bleeding,,,,
Viêm gan do rượu,nôn mửa,vàng da,đau bụng,sưng bụng,distention of abdomen,history of alcohol consumption,fluid overload,,,,,,,,,,
Lao phổi,ớn lạnh,nôn mửa,mệt mỏi,giảm cân,ho,sốt cao,khó thở,đổ mồ hôi,chán ăn,sốt nhẹ,vàng mắt,sưng hạch bạch huyết,khó chịu,đờm,đau ngực,máu trong đờm,
Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho,sốt cao,đau đầu,sưng hạch bạch huyết,khó chịu,đờm,kích ứng họng,đỏ mắt,áp lực xoang,sổ mũi,nghẹt mũi,đau ngực,mất khứu giác,đau cơ
Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao,khó thở,đổ mồ hôi,khó chịu,đờm,đau ngực,nhịp tim nhanh,đờm rỉ sắt,,,,,,
Bệnh trĩ,táo bón,đau khi đi tiêu,đau hậu môn,phân có máu,kích ứng hậu môn,,,,,,,,,,,,
Nhồi máu cơ tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực,,,,,,,,,,,,,
Suy giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì,sưng chân,sưng mạch máu,prominent veins on calf,,,,,,,,,,
Suy giáp,mệt mỏi,tăng cân,tay chân lạnh,thay đổi tâm trạng,lờ đờ,chóng mặt,sưng mặt và mắt,tuyến giáp to,móng tay giòn,sưng chi,trầm cảm,dễ kích động,kinh nguyệt bất thường,,,,
Cường giáp,mệt mỏi,thay đổi tâm trạng,giảm cân,bồn chồn,đổ mồ hôi,tiêu chảy,nhịp tim nhanh,đói quá mức,yếu cơ,dễ kích động,kinh nguyệt bất thường,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan C,mệt mỏi,vàng da,buồn nôn,chán ăn,vàng mắt,tiền sử gia đình,,,,,,,,,,,
Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,
Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,suy gan cấp tính,coma,stomach bleeding,,,,
Viêm gan do rượu,nôn mửa,vàng da,đau bụng,sưng bụng,distention of abdomen,history of alcohol consumption,fluid overload,,,,,,,,,,
Lao phổi,ớn lạnh,nôn mửa,mệt mỏi,giảm cân,ho,sốt cao,khó thở,đổ mồ hôi,chán ăn,sốt nhẹ,vàng mắt,sưng hạch bạch huyết,khó chịu,đờm,đau ngực,máu trong đờm,
Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho,sốt cao,đau đầu,sưng hạch bạch huyết,khó chịu,đờm,kích ứng họng,đỏ mắt,áp lực xoang,sổ mũi,nghẹt mũi,đau ngực,mất khứu giác,đau cơ
Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao,khó thở,đổ mồ hôi,khó chịu,đờm,đau ngực,nhịp tim nhanh,đờm rỉ sắt,,,,,,
Bệnh trĩ,táo bón,đau khi đi tiêu,đau hậu môn,phân có máu,kích ứng hậu môn,,,,,,,,,,,,
Nhồi máu cơ tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực,,,,,,,,,,,,,
Suy giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì,sưng chân,sưng mạch máu,prominent veins on calf,,,,,,,,,,
Suy giáp,mệt mỏi,tăng cân,tay chân lạnh,thay đổi tâm trạng,lờ đờ,chóng mặt,sưng mặt và mắt,tuyến giáp to,móng tay giòn,sưng chi,trầm cảm,dễ kích động,kinh nguyệt bất thường,,,,
Cường giáp,mệt mỏi,thay đổi tâm trạng,giảm cân,bồn chồn,đổ mồ hôi,tiêu chảy,nhịp tim nhanh,đói quá mức,yếu cơ,dễ kích động,kinh nguyệt bất thường,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan C,mệt mỏi,vàng da,buồn nôn,chán ăn,vàng mắt,tiền sử gia đình,,,,,,,,,,,
Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,
Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,suy gan cấp tính,coma,stomach bleeding,,,,
Viêm gan do rượu,nôn mửa,vàng da,đau bụng,sưng bụng,distention of abdomen,history of alcohol consumption,fluid overload,,,,,,,,,,
Lao phổi,ớn lạnh,nôn mửa,mệt mỏi,giảm cân,ho,sốt cao,khó thở,đổ mồ hôi,chán ăn,sốt nhẹ,vàng mắt,sưng hạch bạch huyết,khó chịu,đờm,đau ngực,máu trong đờm,
Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho,sốt cao,đau đầu,sưng hạch bạch huyết,khó chịu,đờm,kích ứng họng,đỏ mắt,áp lực xoang,sổ mũi,nghẹt mũi,đau ngực,mất khứu giác,đau cơ
Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao,khó thở,đổ mồ hôi,khó chịu,đờm,đau ngực,nhịp tim nhanh,đờm rỉ sắt,,,,,,
Bệnh trĩ,táo bón,đau khi đi tiêu,đau hậu môn,phân có máu,kích ứng hậu môn,,,,,,,,,,,,
Nhồi máu cơ tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực,,,,,,,,,,,,,
Suy giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì,sưng chân,sưng mạch máu,prominent veins on calf,,,,,,,,,,
Suy giáp,mệt mỏi,tăng cân,tay chân lạnh,thay đổi tâm trạng,lờ đờ,chóng mặt,sưng mặt và mắt,tuyến giáp to,móng tay giòn,sưng chi,trầm cảm,dễ kích động,kinh nguyệt bất thường,,,,
Cường giáp,mệt mỏi,thay đổi tâm trạng,giảm cân,bồn chồn,đổ mồ hôi,tiêu chảy,nhịp tim nhanh,đói quá mức,yếu cơ,dễ kích động,kinh nguyệt bất thường,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan C,mệt mỏi,vàng da,buồn nôn,chán ăn,vàng mắt,tiền sử gia đình,,,,,,,,,,,
Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,
Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,vàng mắt,suy gan cấp tính,coma,stomach bleeding,,,,
Viêm gan do rượu,nôn mửa,vàng da,đau bụng,sưng bụng,distention of abdomen,history of alcohol consumption,fluid overload,,,,,,,,,,
Lao phổi,ớn lạnh,nôn mửa,mệt mỏi,giảm cân,ho,sốt cao,khó thở,đổ mồ hôi,chán ăn,sốt nhẹ,vàng mắt,sưng hạch bạch huyết,khó chịu,đờm,đau ngực,máu trong đờm,
Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho,sốt cao,đau đầu,sưng hạch bạch huyết,khó chịu,đờm,kích ứng họng,đỏ mắt,áp lực xoang,sổ mũi,nghẹt mũi,đau ngực,mất khứu giác,đau cơ
Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao,khó thở,đổ mồ hôi,khó chịu,đờm,đau ngực,nhịp tim nhanh,đờm rỉ sắt,,,,,,
Bệnh trĩ,táo bón,đau khi đi tiêu,đau hậu môn,phân có máu,kích ứng hậu môn,,,,,,,,,,,,
Nhồi máu cơ tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực,,,,,,,,,,,,,
Suy giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì,sưng chân,sưng mạch máu,prominent veins on calf,,,,,,,,,,
Suy giáp,mệt mỏi,tăng cân,tay chân lạnh,thay đổi tâm trạng,lờ đờ,chóng mặt,sưng mặt và mắt,tuyến giáp to,móng tay giòn,sưng chi,trầm cảm,dễ kích động,kinh nguyệt bất thường,,,,
Cường giáp,mệt mỏi,thay đổi tâm trạng,giảm cân,bồn chồn,đổ mồ hôi,tiêu chảy,nhịp tim nhanh,đói quá mức,yếu cơ,dễ kích động,kinh nguyệt bất thường,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
